Date,Open,High,Low,Close,Adj Close,Volume
2017-04-11,137.419998,137.470001,136.020004,136.979996,134.199753,22000
2017-04-12,137.020004,137.100006,136.350006,136.500000,133.729462,12200
2017-04-13,136.259995,136.979996,135.850006,135.850006,133.092667,22800
2017-04-17,136.119995,137.250000,136.119995,137.240005,134.454437,16600
2017-04-18,136.880005,137.380005,136.770004,137.380005,134.591614,13800
2017-04-19,137.619995,137.970001,137.009995,137.199997,134.415268,14000
2017-04-20,137.619995,138.710007,137.520004,138.500000,135.688889,16200
2017-04-21,138.550003,139.100006,138.110001,138.419998,135.610519,16000
2017-04-24,139.759995,140.259995,139.740005,140.149994,137.305359,11000
2017-04-25,140.600006,141.240005,140.600006,141.039993,138.177353,13000
2017-04-26,141.080002,141.240005,140.679993,140.809998,137.951996,12000
2017-04-27,141.229996,141.839996,141.229996,141.839996,138.961090,12600
2017-04-28,142.649994,142.649994,141.789993,142.059998,139.176620,18600
2017-05-01,142.600006,143.559998,142.410004,143.369995,140.460052,43300
2017-05-02,144.089996,144.089996,143.070007,143.550003,140.636368,106000
2017-05-03,143.679993,143.679993,142.729996,143.279999,140.371887,25900
2017-05-04,143.339996,143.809998,143.139999,143.550003,140.636368,17800
2017-05-05,143.720001,143.919998,143.259995,143.919998,140.998901,14600
2017-05-08,144.199997,144.419998,143.830002,144.399994,141.469131,12500
2017-05-09,144.550003,145.000000,144.429993,144.550003,141.616074,21000
2017-05-10,144.889999,145.289993,144.500000,145.179993,142.233276,22900
2017-05-11,144.759995,145.360001,144.130005,144.880005,141.939392,22100
2017-05-12,145.029999,145.279999,144.820007,145.169998,142.223495,15700
2017-05-15,145.449997,146.149994,145.380005,146.149994,143.183609,15000
2017-05-16,146.589996,147.059998,146.199997,147.059998,144.075119,66000
2017-05-17,145.729996,146.339996,142.940002,142.949997,140.048599,41900
2017-05-18,142.539993,144.190002,142.100006,143.729996,140.812744,42700
2017-05-19,144.440002,145.039993,144.440002,144.520004,141.586700,22800
2017-05-22,144.949997,146.070007,144.949997,146.009995,143.046448,20500
2017-05-23,146.559998,146.559998,145.779999,146.130005,143.164017,13900
2017-05-24,146.529999,147.029999,146.339996,146.949997,143.967392,19200
2017-05-25,147.539993,148.550003,147.460007,148.229996,145.221420,26500
2017-05-26,148.220001,148.339996,148.089996,148.320007,145.309601,25300
2017-05-30,148.220001,148.690002,148.009995,148.619995,145.603485,33500
2017-05-31,149.009995,149.009995,147.779999,148.320007,145.309601,16400
2017-06-01,148.679993,148.949997,148.169998,148.940002,145.916931,20200
2017-06-02,149.509995,150.369995,149.240005,150.320007,147.268951,20300
2017-06-05,150.380005,150.970001,150.380005,150.580002,147.523712,20600
2017-06-06,150.330002,150.919998,150.020004,150.199997,147.151413,26300
2017-06-07,150.490005,150.770004,149.839996,150.539993,147.484467,23600
2017-06-08,150.869995,151.220001,150.240005,151.199997,148.131088,17000
2017-06-09,151.410004,151.610001,144.910004,147.080002,144.094742,26400
2017-06-12,145.729996,146.279999,143.279999,145.850006,142.889679,85600
2017-06-13,146.979996,147.550003,146.470001,147.300003,144.310257,38700
2017-06-14,147.869995,148.000000,145.360001,146.399994,143.428497,18900
2017-06-15,144.940002,145.940002,144.000000,145.729996,142.772125,181600
2017-06-16,146.080002,146.160004,145.330002,145.880005,142.919067,19200
2017-06-19,147.050003,148.020004,147.050003,148.000000,144.996063,16600
2017-06-20,147.960007,148.080002,146.869995,146.869995,143.888977,14000
2017-06-21,147.440002,147.910004,147.440002,147.910004,144.907883,14000
2017-06-22,148.429993,148.500000,147.600006,148.139999,145.133240,11100
2017-06-23,148.000000,149.500000,147.970001,149.169998,146.142303,11900
2017-06-26,149.899994,150.130005,148.210007,148.289993,145.280197,9800
2017-06-27,147.520004,147.779999,145.550003,145.550003,142.857849,35700
2017-06-28,145.990005,147.550003,145.250000,147.550003,144.820816,12300
2017-06-29,146.820007,147.289993,143.559998,144.869995,142.190414,48400
2017-06-30,145.250000,145.619995,144.630005,144.639999,141.964676,35100
2017-07-03,145.270004,145.270004,143.130005,143.289993,140.639633,16800
2017-07-05,143.759995,145.110001,143.520004,144.860001,142.180618,14900
2017-07-06,143.729996,144.309998,143.139999,143.589996,140.934082,13100
2017-07-07,144.080002,145.919998,144.080002,145.600006,142.906921,16500
2017-07-10,145.679993,146.940002,145.550003,146.729996,144.015976,9700
